Navire,IMO,Type,Port,Date_arrivee_rade,Date_depart_rade,Duree_en_rade,Duree_en_rade_heures,Raison,Jauge_brute_GT,Longueur_LOA_m,Tirant_eau_m,Navires_en_attente_rade,Indice_congestion_port,Conditions_meteo,Poste_a_quai_assigne,Jour_semaine,Mois,Annee
MSC/CMA Levant 7,IMO9096168,Porte-conteneurs,Port d'Alger,2022-06-21 05:30,2022-06-22 10:26,28h57,28.95,Attente pilote,76715,177.7,10.7,2,0.76,Houle,Q8,Mardi,6,2022
MV Atlantic 3,IMO9562445,Vraquier,Port d'Alger,2022-06-21 09:10,2022-06-23 16:54,55h44,55.74,Attente poste à quai,13895,164.2,10.8,2,0.97,Beau temps,Q5,Mardi,6,2022
MV Levant 1,IMO9240174,Céréalier,Port d'Alger,2022-06-22 16:15,2022-06-25 12:56,68h41,68.69,Encombrement quai,56333,168.6,9.3,7,0.69,Beau temps,Q9,Mercredi,6,2022
MT Djurdjura 9,IMO9097992,Pétrolier,Port d'Alger,2022-06-23 09:45,2022-06-25 14:19,52h34,52.57,Contrôle douanier,75422,171.4,10.7,11,0.64,Mer agitée,Q9,Jeudi,6,2022
RoRo Baltic 3,IMO9732052,Roulier (Ro-Ro),Port d'Alger,2022-06-23 21:15,2022-06-25 16:16,43h01,43.02,Attente poste à quai,38978,155.7,9.7,10,1.0,Beau temps,Q6,Jeudi,6,2022
MT Star 1,IMO9590579,Pétrolier,Port d'Alger,2022-06-24 03:20,2022-06-26 17:54,62h34,62.57,Contrôle douanier,20080,169.6,11.7,9,1.0,Brouillard,Q6,Vendredi,6,2022
MV Atlas 8,IMO9163917,Cimentier,Port d'Alger,2022-06-27 09:50,2022-06-29 18:52,57h03,57.04,Attente poste à quai,20935,156.1,9.7,11,1.0,Beau temps,Q12,Lundi,6,2022
MT Sahel 3,IMO9225772,Pétrolier,Port d'Alger,2022-06-29 02:00,2022-07-01 05:08,51h09,51.15,Attente autorisation,14182,235.3,13.6,8,1.0,Mer agitée,Q5,Mercredi,6,2022
MV Hoggar 6,IMO9222955,Vraquier,Port d'Alger,2022-06-30 10:30,2022-07-02 18:01,55h32,55.53,Attente poste à quai,38888,216.0,14.3,9,0.55,Beau temps,Q11,Jeudi,6,2022
MV Chenoua 2,IMO9367506,Vraquier,Port d'Alger,2022-07-01 22:40,2022-07-03 16:54,42h15,42.25,Attente poste à quai,43415,199.1,11.3,4,0.98,Beau temps,Q12,Vendredi,7,2022
LNG Kabylie 2,IMO9097251,Gazier,Port d'Alger,2022-07-02 07:40,2022-07-04 12:40,53h00,53.01,Attente autorisation,18159,196.1,12.4,8,1.0,Beau temps,Q6,Samedi,7,2022
MV Mitidja 2,IMO9896865,Vraquier,Port d'Alger,2022-07-06 22:10,2022-07-09 08:42,58h33,58.55,Attente déchargement,20786,144.9,9.7,7,0.92,Beau temps,Q9,Mercredi,7,2022
LNG Cristal 3,IMO9735499,Gazier,Port d'Alger,2022-07-15 04:45,2022-07-16 20:56,40h12,40.2,Attente poste à quai,36326,135.6,8.3,4,0.75,Houle,Q3,Vendredi,7,2022
MV Pioneer 3,IMO9992921,Céréalier,Port d'Alger,2022-07-19 15:15,2022-07-23 03:32,84h17,84.29,Attente marchandise,41112,213.7,14.1,11,1.0,Mer agitée,Q11,Mardi,7,2022
MT Baltic 7,IMO9811131,Pétrolier,Port d'Alger,2022-07-20 13:20,2022-07-22 13:42,48h23,48.38,Attente pilote,82627,200.7,11.6,11,0.96,Beau temps,Q8,Mercredi,7,2022
MV Star 9,IMO9439898,Vraquier,Port d'Alger,2022-07-23 20:50,2022-07-26 00:58,52h09,52.15,Attente poste à quai,59183,129.3,7.9,4,0.87,Beau temps,Q7,Samedi,7,2022
MSC/CMA Mitidja 5,IMO9717659,Porte-conteneurs,Port d'Alger,2022-07-29 00:40,2022-07-30 17:51,41h11,41.19,Attente poste à quai,79745,156.1,9.3,8,1.0,Beau temps,Q6,Vendredi,7,2022
MV Cirta 7,IMO9291476,Vraquier,Port d'Alger,2022-07-30 18:10,2022-08-02 08:07,61h57,61.95,Attente poste à quai,47999,181.2,10.9,6,0.99,Beau temps,Q4,Samedi,7,2022
MV Pioneer 2,IMO9619176,Céréalier,Port d'Alger,2022-08-02 15:15,2022-08-05 09:24,66h09,66.15,Attente marchandise,12013,214.1,14.5,7,0.99,Beau temps,Q3,Mardi,8,2022
MV Levant 3,IMO9365249,Vraquier,Port d'Alger,2022-08-03 09:45,2022-08-06 12:58,75h14,75.23,Encombrement quai,50765,136.7,8.5,6,1.0,Beau temps,Q4,Mercredi,8,2022
MV Zaccar 1,IMO9693384,Vraquier,Port d'Alger,2022-08-12 04:10,2022-08-14 14:14,58h04,58.07,Attente poste à quai,10775,130.8,7.3,7,1.0,Beau temps,Q9,Vendredi,8,2022
MSC/CMA Sahel 9,IMO9230283,Porte-conteneurs,Port d'Alger,2022-08-12 19:20,2022-08-14 06:51,35h31,35.52,Attente pilote,57450,229.6,14.7,7,0.83,Houle,Q11,Vendredi,8,2022
MV Kabylie 9,IMO9463303,Vraquier,Port d'Alger,2022-08-18 01:20,2022-08-20 00:10,46h50,46.84,Attente déchargement,32238,124.1,7.1,1,0.72,Beau temps,Q12,Jeudi,8,2022
RoRo Pioneer 8,IMO9675990,Roulier (Ro-Ro),Port d'Alger,2022-08-23 05:00,2022-08-24 16:28,35h29,35.48,Attente autorisation,28808,127.2,8.8,5,1.0,Beau temps,Q11,Mardi,8,2022
MV Sahara 3,IMO9635324,Vraquier,Port d'Alger,2022-08-23 18:20,2022-08-25 23:51,53h32,53.53,Attente poste à quai,17740,193.6,13.3,5,0.34,Mer agitée,Q3,Mardi,8,2022
MV Aurès 4,IMO9541058,Céréalier,Port d'Alger,2022-08-24 00:40,2022-08-25 22:50,46h10,46.17,Attente silo disponible,47677,213.7,13.4,6,1.0,Beau temps,Q6,Mercredi,8,2022
RoRo Neptune 7,IMO9706995,Roulier (Ro-Ro),Port d'Alger,2022-08-25 11:50,2022-08-27 04:21,40h32,40.53,Attente pilote,31553,145.6,9.1,7,1.0,Vent fort,Q5,Jeudi,8,2022
MV Bouzaréah 6,IMO9703055,Vraquier,Port d'Alger,2022-08-26 03:20,2022-08-29 02:50,71h31,71.51,Encombrement quai,15499,198.7,13.6,6,0.48,Houle,Q10,Vendredi,8,2022
RoRo Diamant 6,IMO9423555,Roulier (Ro-Ro),Port d'Alger,2022-08-29 10:55,2022-09-07 07:20,212h25,212.42,Attente silo disponible (saturation),38099,192.2,11.1,14,0.89,Vent fort,Q8,Lundi,8,2022
MV Djurdjura 8,IMO9160626,Vraquier,Port d'Alger,2022-08-29 20:30,2022-09-01 15:32,67h03,67.04,Attente marchandise,24101,224.6,14.3,13,0.84,Beau temps,Q7,Lundi,8,2022
MV Zaccar 5,IMO9746925,Vraquier,Port d'Alger,2022-08-30 00:40,2022-09-01 08:18,55h39,55.65,Attente poste à quai,56447,141.6,8.1,6,0.94,Brouillard,Q8,Mardi,8,2022
MV Voyager 5,IMO9727691,Vraquier,Port d'Alger,2022-08-30 08:30,2022-09-02 03:03,66h33,66.55,Encombrement quai,41813,218.2,12.6,3,0.55,Houle,Q4,Mardi,8,2022
MSC/CMA Sahel 9,IMO9230283,Porte-conteneurs,Port d'Alger,2022-08-31 14:30,2022-09-02 15:58,49h28,49.47,Encombrement quai,74227,203.8,13.2,6,0.83,Beau temps,Q12,Mercredi,8,2022
MV Chenoua 9,IMO9398855,Cimentier,Port d'Alger,2022-08-31 17:45,2022-09-02 00:00,30h16,30.26,Attente déchargement,21473,101.9,5.9,2,0.35,Beau temps,Q5,Mercredi,8,2022
MV Zaccar 7,IMO9689305,Vraquier,Port d'Alger,2022-09-03 18:20,2022-09-06 00:17,53h57,53.96,Attente marchandise,40493,130.7,8.4,7,0.16,Mer agitée,Q5,Samedi,9,2022
MT Sahara 3,IMO9304561,Pétrolier,Port d'Alger,2022-09-07 18:45,2022-09-09 21:10,50h25,50.42,Attente poste à quai,64225,210.8,12.5,7,0.66,Beau temps,Q6,Mercredi,9,2022
RoRo Bouzaréah 2,IMO9849884,Roulier (Ro-Ro),Port d'Alger,2022-09-09 04:10,2022-09-10 10:05,29h56,29.93,Attente autorisation,34603,167.9,9.5,7,0.29,Mer agitée,Q11,Vendredi,9,2022
MT Atlantic 3,IMO9259822,Pétrolier,Port d'Alger,2022-09-10 18:45,2022-09-12 16:59,46h14,46.24,Attente poste à quai,71229,175.3,11.9,7,0.61,Beau temps,Q4,Samedi,9,2022
MV Neptune 1,IMO9315743,Vraquier,Port d'Alger,2022-09-11 17:30,2022-09-14 09:21,63h51,63.86,Attente poste à quai,24514,146.3,8.5,9,0.85,Beau temps,Q11,Dimanche,9,2022
MV Diamant 7,IMO9355505,Céréalier,Port d'Alger,2022-09-12 11:45,2022-09-16 17:08,101h24,101.4,Encombrement quai,53722,212.3,11.9,8,0.38,Brouillard,Q12,Lundi,9,2022
RoRo Star 2,IMO9638720,Roulier (Ro-Ro),Port d'Alger,2022-09-20 21:20,2022-09-23 05:54,56h35,56.58,Attente poste à quai,26514,192.9,12.2,13,0.92,Beau temps,Q6,Mardi,9,2022
MSC/CMA Star 2,IMO9610610,Porte-conteneurs,Port d'Alger,2022-09-25 06:45,2022-09-26 21:58,39h13,39.22,Attente poste à quai,72601,210.4,13.2,5,0.6,Mer agitée,Q1,Dimanche,9,2022
MV Sahara 1,IMO9393417,Vraquier,Port d'Alger,2022-09-26 06:00,2022-09-28 15:48,57h49,57.81,Attente marchandise,26281,141.1,8.4,11,0.95,Houle,Q9,Lundi,9,2022
MSC/CMA Mitidja 8,IMO9283783,Porte-conteneurs,Port d'Alger,2022-09-26 13:50,2022-10-04 19:08,197h19,197.31,Panne système informatique portuaire,75149,298.5,9.0,22,0.92,Beau temps,Q4,Lundi,9,2022
MV Sahel 5,IMO9747362,Vraquier,Port d'Alger,2022-09-28 20:15,2022-10-01 09:43,61h29,61.48,Attente marchandise,39875,176.6,10.0,7,0.95,Brouillard,Q7,Mercredi,9,2022
MT Hoggar 5,IMO9735911,Pétrolier,Port d'Alger,2022-09-30 20:15,2022-10-02 12:43,40h29,40.48,Attente autorisation,76085,217.3,14.6,6,0.61,Beau temps,Q8,Vendredi,9,2022
MT Levant 6,IMO9170555,Pétrolier,Port d'Alger,2022-09-30 20:40,2022-10-02 20:43,48h03,48.06,Attente autorisation,68164,206.2,14.3,6,0.55,Beau temps,Q12,Vendredi,9,2022
MT Poseidon 7,IMO9634366,Pétrolier,Port d'Alger,2022-10-03 09:50,2022-10-05 20:12,58h22,58.37,Attente autorisation,41490,197.3,13.4,7,0.71,Mer agitée,Q8,Lundi,10,2022
MSC/CMA Levant 3,IMO9795702,Porte-conteneurs,Port d'Alger,2022-10-09 01:30,2022-10-10 15:47,38h17,38.29,Attente grue,40932,285.9,16.8,4,0.34,Vent fort,Q10,Dimanche,10,2022
RoRo Pioneer 2,IMO9745957,Roulier (Ro-Ro),Port d'Alger,2022-10-11 08:00,2022-10-12 10:54,26h54,26.91,Attente poste à quai,31541,199.9,13.8,5,0.32,Houle,Q5,Mardi,10,2022
MT Levant 6,IMO9170555,Pétrolier,Port d'Alger,2022-10-14 23:50,2022-10-17 06:41,54h51,54.85,Attente poste à quai,34623,241.4,16.7,7,0.57,Brouillard,Q9,Vendredi,10,2022
MV Tassili 7,IMO9194776,Vraquier,Port d'Alger,2022-10-17 16:45,2022-10-20 09:15,64h30,64.51,Attente déchargement,30937,217.3,14.9,6,0.69,Beau temps,Q9,Lundi,10,2022
MSC/CMA Star 3,IMO9328638,Porte-conteneurs,Port d'Alger,2022-10-21 10:15,2022-10-23 12:44,50h30,50.5,Attente poste à quai,71231,221.5,13.5,11,0.69,Mer agitée,Q8,Vendredi,10,2022
RoRo Zaccar 8,IMO9974054,Roulier (Ro-Ro),Port d'Alger,2022-10-21 21:45,2022-10-28 03:13,149h29,149.48,Tempête majeure / Fermeture du port,32699,192.5,11.0,17,0.9,Houle,Q6,Vendredi,10,2022
MV Corniche 8,IMO9430817,Céréalier,Port d'Alger,2022-10-23 07:45,2022-11-04 02:14,282h29,282.49,Grève des dockers,48910,168.0,8.1,10,0.87,Houle,Q2,Dimanche,10,2022
MT Meridian 2,IMO9378666,Pétrolier,Port d'Alger,2022-10-26 02:15,2022-10-28 06:59,52h44,52.74,Attente autorisation,66411,195.5,12.7,9,0.76,Beau temps,Q12,Mercredi,10,2022
MV Endeavour 5,IMO9848749,Vraquier,Port d'Alger,2022-10-30 07:10,2022-10-31 22:32,39h22,39.37,Attente déchargement,28962,165.6,11.2,2,0.21,Beau temps,Q11,Dimanche,10,2022
MV Numidia 8,IMO9562275,Vraquier,Port d'Alger,2022-10-31 13:15,2022-11-02 11:40,46h26,46.43,Attente poste à quai,9511,184.4,12.7,6,0.15,Houle,Q6,Lundi,10,2022
MSC/CMA Cirta 5,IMO9909613,Porte-conteneurs,Port d'Alger,2022-10-31 18:10,2022-11-03 04:13,58h04,58.06,Encombrement quai,50923,294.2,18.1,10,0.53,Beau temps,Q7,Lundi,10,2022
